session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time,round_number,timeout_happened,is_wait_page
wybeo328,1,5chumfme,1,Intro,Intro,1614284548,1,0,0
wybeo328,1,5chumfme,2,Biases_T1,Framing,1614284552,1,0,0
wybeo328,1,5chumfme,3,Biases_T1,Anchoring,1614284556,1,0,0
wybeo328,1,5chumfme,4,Biases_T1,Decoy,1614284558,1,0,0
wybeo328,1,5chumfme,5,Biases_T1,MentalAccounting,1614284562,1,0,0
wybeo328,1,5chumfme,6,Biases_T1,ConjunctionFallacy,1614284565,1,0,0
wybeo328,1,5chumfme,7,FinLit,FinLit,1614284577,1,0,0
wybeo328,1,5chumfme,8,Preferences,RiskPreference,1614284629,1,0,0
wybeo328,1,5chumfme,9,Preferences,TimePreference,1614284636,1,0,0
wybeo328,1,5chumfme,10,Field_Behavior,Field_Behavior,1614284643,1,0,0
wybeo328,1,5chumfme,11,Field_Behavior,Perception_Questions,1614284649,1,0,0
wybeo328,1,5chumfme,12,Biases_T2,Framing,1614284652,1,0,0
wybeo328,1,5chumfme,13,Biases_T2,Anchoring,1614284656,1,0,0
wybeo328,1,5chumfme,14,Biases_T2,Decoy,1614284659,1,0,0
wybeo328,1,5chumfme,15,Biases_T2,MentalAccounting,1614284661,1,0,0
wybeo328,1,5chumfme,16,Demographics,Demographics,1614284695,1,0,0
wybeo328,1,5chumfme,17,Outro,Outro,1614284697,1,0,0
mfbrkb7z,1,a5r7we33,1,Intro,Intro,1614284758,1,0,0
mfbrkb7z,1,a5r7we33,2,Biases_T1,MentalAccounting,1614284763,1,0,0
mfbrkb7z,1,a5r7we33,3,Biases_T1,Framing,1614284767,1,0,0
mfbrkb7z,1,a5r7we33,4,Biases_T1,Anchoring,1614284770,1,0,0
mfbrkb7z,1,a5r7we33,5,Biases_T1,Decoy,1614284773,1,0,0
mfbrkb7z,1,a5r7we33,6,Biases_T1,ConjunctionFallacy,1614284776,1,0,0
mfbrkb7z,1,a5r7we33,7,FinLit,FinLit,1614284789,1,0,0
mfbrkb7z,1,a5r7we33,8,Preferences,RiskPreference,1614284832,1,0,0
36bz8s4h,1,7gaqnjdz,1,Intro,Intro,1614287999,1,0,0
36bz8s4h,1,7gaqnjdz,2,Biases_T1,MentalAccounting,1614288007,1,0,0
